,text,username,timestamp,location,likes,clean_tweet,negative,neutral,positive,compound,analysis,pca_x,pca_y,pca_z,y,cluster,tsne_x,tsne_y
0,"RT @GOPLeader: From the border, to inflation, to Afghanistan, President Biden is mismanaging one crisis after another.

And Americans are t…",Redflas81179146,Sun Sep 19 19:53:59 +0000 2021,,7374,border inflation afghanistan president biden mismanage one crisis another american t…,0.291,0.709,0.0,-0.6249,negative,-0.0044581493600660705,-0.04225440972571288,0.01389852520624061,2,2,-9.713292,5.4142613
1,RT @CrypticNoHoes: Why'd they need to bring a RPG on a pedal boat 😭,DynamicsRJG,Sun Sep 19 19:53:59 +0000 2021,Texas,232650,need bring rpg pedal boat 😭,0.307,0.693,0.0,-0.4767,negative,0.5756977749749652,0.5766562101530945,-0.14333492506410678,3,3,11.734673,-7.3335676
2,RT @AlinejadMasih: Brave Afghan women are not giving up their fight. As Taliban has abolished the Ministry of Women's Affairs and replaced…,JanetCa90462936,Sun Sep 19 19:54:00 +0000 2021,,22908,brave afghan woman give fight taliban abolish ministry woman affair replaced…,0.173,0.6,0.227,0.2023,positive,0.03760624239704172,-0.08812287984428878,-0.03164805929936286,9,9,-1.018455,-13.674536
3,"RT @BBCYaldaHakim: The Taliban have prohibited girls from secondary school in Afghanistan. In solidarity, many boys have been refusing to g…",evythgisawful,Sun Sep 19 19:54:00 +0000 2021,,4160,taliban prohibit girl secondary school afghanistan solidarity many boy refuse g…,0.164,0.672,0.164,0.0,neutral,0.06271940766983425,-0.10381006094287273,0.062465561277924415,5,5,-7.15206,-8.069656
4,"RT @shafqatchMM: #ISIon5thFloor
Indian fake news factory
Claimed ISI stationed on 5th floor of sarina hotel Kabul.
Let's find out that 5th…",awaisnasir665,Sun Sep 19 19:54:00 +0000 2021,Lahore Pakistan,18786,indian fake news factory claim isi station 5th floor sarina hotel kabul let find 5th…,0.181,0.819,0.0,-0.4767,negative,-0.34505462879483895,0.2055191564639636,-0.031994501637815156,6,6,11.46074,5.5121922
5,"... Joe Biden, Kamala Harris and every member of Congress who isn't pressing the president daily about civilians st… https://t.co/I6VgWp8Z30",MoniqAR,Sun Sep 19 19:54:00 +0000 2021,"Rhode Island, USA",83213,joe biden kamala harris every member congress press president daily civilians st…,0.0,1.0,0.0,0.0,neutral,0.005917255281859247,-0.050580965157732555,-0.02630423857662731,0,0,-3.448405,0.5137396
6,"RT @SamRamani2: #Germany 🇩🇪 just praised #Pakistan 🇵🇰's ""constructive role"" in #Afghanistan 🇦🇫 

Germany's views on Pakistan are closer to…",HarisKhv,Sun Sep 19 19:54:00 +0000 2021,Pakistan,183605,🇩🇪 praise 🇵🇰 constructive role 🇦🇫 germany view pakistan close to…,0.0,0.735,0.265,0.5574,positive,-0.016198694166000907,-0.010410502535175668,0.008404003632941361,0,0,-4.439333,5.2430043
7,Get our back from Afghanistan I don’t want to hear your bull shit,USA9112001,Sun Sep 19 19:54:00 +0000 2021,United States,48529,get back afghanistan don’t want hear bull shit,0.33,0.55,0.119,-0.5106,negative,-0.004507646585849906,-0.03393851845936835,0.01496051946258501,2,2,-2.4197016,-3.1439056
8,RT @U2MS2: IS Media (ISKP) published a video documenting the moment one of the explosive devices detonated on a vehicle of the Taliban mili…,MaresalKK,Sun Sep 19 19:54:00 +0000 2021,Ortadoğu,879,medium iskp publish video document moment one explosive device detonate vehicle taliban mili…,0.0,1.0,0.0,0.0,neutral,0.016118786483033547,-0.029423096396092602,0.020878920797209384,0,0,5.4527793,1.0515966
9,"RT @PanjshirProvin1: Dark days in Afghanistan 🇦🇫 

By the time people see more of this kind of public punishment, they will become psycho,…",InLibertatem,Sun Sep 19 19:54:00 +0000 2021,Madrid~ (España),38468,dark day afghanistan 🇦🇫 time people see kind public punishment become psycho …,0.182,0.625,0.193,0.0516,positive,0.015763671734531748,-0.09326633708089375,-0.06897051090469414,2,2,-7.9203753,0.20348835
10,RT @adamhousley: Being told the CIA actually made the targeting mistake on the family in Afghanistan and is blaming it on DOD.,NationalTalk,Sun Sep 19 19:54:01 +0000 2021,"Los Angeles, CA",1456,tell cia actually make target mistake family afghanistan blame dod,0.375,0.625,0.0,-0.5859,negative,-0.01365672047879923,-0.03426764265614735,0.009401389423877703,0,0,0.72734505,10.992724
11,"RT @DrTedros: Happy to be in #Qatar 🇶🇦 together with @WHOEMRO Director today. We met with Hanan Mohamed Al Kuwari, Minister @MOPHQatar, Kha…",GadflyQuebec,Sun Sep 19 19:54:01 +0000 2021,Canada Tiohtiak:ke,71124,happy 🇶🇦 together director today meet hanan mohamed al kuwari minister kha…,0.0,0.748,0.252,0.5719,positive,-0.005446626759769545,-0.01744286678069817,0.008986351868339475,0,0,-17.32938,1.1317835
12,@brolezholloway @AmarDeepSinghD @sammeoch @johnbestwest @LedburyAction @John_Burgess001 @owens_declan @ShinyShep… https://t.co/rTCeqxt83f,Pilgrim_Says,Sun Sep 19 19:54:01 +0000 2021,,29063,burgess001 declan,0.0,1.0,0.0,0.0,neutral,-0.0023575288530962384,-0.014502965650029852,0.008288044390531994,0,0,3.307993,1.771409
13,"RT @Socialism4Figs: @racerxcal4 @ElijahSchaffer 😂 The FBI threw a party, that nobody showed up for. They were trying to set up another Janu…",CU_L8R_Nutz,Sun Sep 19 19:54:01 +0000 2021,Liz in WA,437107,😂 fbi throw party nobody show try set another janu…,0.098,0.567,0.335,0.6808,positive,-0.0012872906807075148,-0.05180160707205285,-0.04218145943790479,0,0,4.8477163,12.215338
14,Joined the taliban,Qmolestedme,Sun Sep 19 19:54:01 +0000 2021,Parody,1402,join taliban,0.0,0.312,0.688,0.296,positive,0.06134108553352521,-0.04241738996523226,0.036486596371251734,0,0,-3.3045945,-9.453156
15,RT @HabibKhanT: Pakistani invaders deciding the fate of Afghanistan. #SanctionPakistan,MNasimPanezai,Sun Sep 19 19:54:02 +0000 2021,KHANOZAI(Durandline),1074,pakistani invader decide fate afghanistan,0.0,1.0,0.0,0.0,neutral,-0.0050068215940529195,-0.02561632808275875,0.011492354060888275,2,2,-1.366759,4.290777
